ç
"Município","ibge","latitude","longitude","/Educação/Ens...de Série/Total 2013 (-)"
"Aceguá","4300034","-31.860759999990","-54.167059999990","25,7"
"Água Santa","4300059","-28.167200000000","-52.030999999990","14,7"
"Agudo","4300109","-29.644700000000","-53.251500000000","26,4"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","24,1"
"Alecrim","4300307","-27.657900000000","-54.764899999990","18,9"
"Alegrete","4300406","-29.790199999990","-55.794899999990","36,0"
"Alegria","4300455","-27.834499999990","-54.055700000000","18,2"
"Almirante Tamandaré do Sul","4300471","-28.108599999990","-52.911900000000","23,7"
"Alpestre","4300505","-27.250200000000","-53.034100000000","18,1"
"Alto Alegre","4300554","-28.776900000000","-52.989199999990","11,1"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","19,8"
"Alvorada","4300604","-29.991399999990","-51.080900000000","40,7"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","41,3"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","15,0"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","36,7"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","14,1"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","23,0"
"Arambaré","4300851","-30.909300000000","-51.504600000000","52,8"
"Araricá","4300877","-29.616800000000","-50.929099999990","33,9"
"Aratiba","4300901","-27.397800000000","-52.297499999990","11,0"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","19,6"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","23,7"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","27,9"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","17,9"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","27,6"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","25,5"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","23,3"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","16,4"
"Áurea","4301552","-27.693600000000","-52.050500000000","5,8"
"Bagé","4301602","-31.329699999990","-54.099899999990","35,4"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","46,7"
"Barão","4301651","-29.372500000000","-51.494900000000","23,3"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","13,5"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","26,9"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","12,3"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","51,5"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","33,5"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","10,5"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","20,1"
"Barracão","4301800","-27.673900000000","-51.458599999990","22,6"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","20,2"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","26,9"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","18,7"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","21,1"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","22,0"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","21,2"
"Boa Vista do Incra","4302238","-28.809200000000","-53.387400000000","20,6"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","9,6"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","25,1"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","21,3"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","18,6"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","30,0"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","33,3"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","33,2"
"Bozano","4302584","-28.367460000000","-53.772239999990","23,7"
"Braga","4302600","-27.617300000000","-53.740499999990","26,1"
"Brochier","4302659","-29.550100000000","-51.594499999990","16,9"
"Butiá","4302709","-30.117899999990","-51.960099999990","35,0"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","39,8"
"Cacequi","4302907","-29.888300000000","-54.822000000000","27,9"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","27,4"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","28,5"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","29,3"
"Caibaté","4303301","-28.290500000000","-54.645400000000","46,6"
"Caiçara","4303400","-27.279100000000","-53.425699999990","20,1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","31,6"
"Camargo","4303558","-28.588000000000","-52.200299999990","12,2"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","11,7"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","7,6"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","8,8"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","14,7"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","27,5"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","32,5"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","23,0"
"Candelária","4304200","-29.668399999990","-52.789499999990","19,2"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","14,8"
"Candiota","4304358","-31.551500000000","-53.677300000000","35,6"
"Canela","4304408","-29.356000000000","-50.811900000000","16,4"
"Canguçu","4304507","-31.396000000000","-52.678199999990","28,0"
"Canoas","4304606","-29.912800000000","-51.185699999990","36,1"
"Canudos do Vale","4304614","-29.318700000000","-52.234499999990","24,3"
"Capão Bonito do Sul","4304622","-29.764199999990","-50.028199999990","31,2"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","31,5"
"Capão do Cipó","4304655","-28.904000000000","-54.700000000000","30,4"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","46,1"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","43,9"
"Capitão","4304697","-29.267399999990","-51.985300000000","20,4"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","28,2"
"Caraá","4304713","-29.786899999990","-50.431600000000","20,9"
"Carazinho","4304705","-28.295800000000","-52.793300000000","21,3"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","14,6"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","17,3"
"Casca","4304903","-28.560500000000","-51.981499999990","12,3"
"Caseiros","4304952","-28.258199999990","-51.686100000000","19,0"
"Catuípe","4305009","-28.255400000000","-54.013199999990","21,9"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","21,5"
"Centenário","4305116","-27.761600000000","-51.998399999990","11,5"
"Cerrito","4305124","-31.841899999990","-52.800400000000","43,9"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","25,7"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","29,2"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","36,9"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","23,7"
"Chapada","4305306","-28.055900000000","-53.066499999990","17,5"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","28,1"
"Charrua","4305371","-27.949300000000","-52.015000000000","28,8"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","18,8"
"Chuí","4305439","-33.686599999990","-53.459400000000","48,6"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","17,9"
